DATE;TIME;ZAT;OZNAKA;TIP_DOK;BR_DOK;POBROJ;MAG;IMEMAG;KOMINT;IMEKOM;DATUM;VALUTA;PLATENO;AZUR;NALOG;DOLGUVA;POBARUVA;FAKIZNOS;TRANSPORT;CARINA;UTOVAR;TROSOCI;NACINISPOR;TOVARLIST;VOZILO;PRIMIL;PORIZJAVA;MANIPUL;SIFCAR;IMECAR;SIFTRANS;IMETRANS;SIFSPED;IMESPED;DDV19;DDV5;DOK1;DOK2;DOK3;DOK4
29.10.2025;08:53:06;;;2;001368;;100;\OR^E;1028;MAKROPROM;28.10.2025;04.11.2025;;;;32758,00;;31198,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;1560,00;;;;
31.10.2025;08:12:11;;;2;001369;;100;\OR^E;38;TRADICIONAL DOOEL SKOPJE;28.10.2025;04.11.2025;;;;7528,50;;7170,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;358,50;;;;
31.10.2025;08:12:57;;;2;001370;GIGO TREJD-2 gor^e;100;\OR^E;2008;GIGO-TREJD;28.10.2025;04.11.2025;;;;3471,50;;3306,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;165,50;;;;
13.11.2025;08:36:34;;;2;001371;;100;\OR^E;1371;SER@;31.10.2025;07.11.2025;;;;2094,50;;1995,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;99,50;;;;
03.11.2025;10:35:43;;;2;001372;;100;\OR^E;57;NOA GIRADIKO SKOPJE;30.10.2025;06.11.2025;;;;7805,50;;7434,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;371,50;;;;
03.11.2025;10:38:03;;;2;001373;REPTIL-7 porta;100;\OR^E;1225;REPTIL DPTU;30.10.2025;29.11.2025;;;;4326,00;;4120,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;206,00;;;;
03.11.2025;10:40:14;;;2;001374;REPTIL-4 aerodrom;100;\OR^E;1225;REPTIL DPTU;30.10.2025;29.11.2025;;;;3213,00;;3060,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;153,00;;;;
03.11.2025;10:40:37;;;2;001375;REPTIL-14 (mesara);100;\OR^E;1225;REPTIL DPTU;30.10.2025;29.11.2025;;;;3822,00;;3640,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;182,00;;;;
31.10.2025;08:17:49;;;2;001376;podr.burgerslat;100;\OR^E;1433;LILAN MONTING DOOELSKOPJE;30.10.2025;06.11.2025;;;;10080,00;;9600,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;480,00;;;;
31.10.2025;08:21:44;;;2;001377;centar;100;\OR^E;65;RESTORAN BURGERSLAT DOO SKOPJE;30.10.2025;06.11.2025;;;;10080,00;;9600,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;480,00;;;;
10.11.2025;10:24:46;;;5;000110;;100;\OR^E;100;MAGACIN \OR^E;30.10.2025;30.10.2025;;;;;;0,00;0,00;0,00;1,000000;0,00;;;;;;0,00;0;;0;;0;;0,00;0,00;;;;
31.10.2025;15:19:30;;;2;001378;podr.ramstore capitol moll;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;30.10.2025;29.12.2025;;;;6914,50;;6585,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;329,50;;;;
31.10.2025;15:20:32;;;2;001379;;100;\OR^E;883;SPECIJAL PRODUKT DOOEL;31.10.2025;31.10.2025;;;;54243,00;;51660,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;2583,00;;;;
31.10.2025;15:22:14;;;2;001380;rabotilnica;100;\OR^E;1168;TP SENDVI^ARA 7;31.10.2025;07.11.2025;;;;21995,00;;20947,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;1047,50;;;;
31.10.2025;15:22:46;;;2;001381;;100;\OR^E;959;EKSTRA MEIN BORIS DOOEL KUMANOVO;31.10.2025;07.11.2025;;;;107879,50;;102742,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;5137,00;;;;
